FIPS,Name,State
21001,Adair,KY
21003,Allen,KY
21005,Anderson,KY
21007,Ballard,KY
21009,Barren,KY
21011,Bath,KY
21013,Bell,KY
21015,Boone,KY
21017,Bourbon,KY
21019,Boyd,KY
21021,Boyle,KY
21023,Bracken,KY
21025,Breathitt,KY
21027,Breckinridge,KY
21029,Bullitt,KY
21031,Butler,KY
21033,Caldwell,KY
21035,Calloway,KY
21037,Campbell,KY
21039,Carlisle,KY
21041,Carroll,KY
21043,Carter,KY
21045,Casey,KY
21047,Christian,KY
21049,Clark,KY
21051,Clay,KY
21053,Clinton,KY
21055,Crittenden,KY
21057,Cumberland,KY
21059,Daviess,KY
21061,Edmonson,KY
21063,Elliott,KY
21065,Estill,KY
21067,Fayette,KY
21069,Fleming,KY
21071,Floyd,KY
21073,Franklin,KY
21075,Fulton,KY
21077,Gallatin,KY
21079,Garrard,KY
21081,Grant,KY
21083,Graves,KY
21085,Grayson,KY
21087,Green,KY
21089,Greenup,KY
21091,Hancock,KY
21093,Hardin,KY
21095,Harlan,KY
21097,Harrison,KY
21099,Hart,KY
21101,Henderson,KY
21103,Henry,KY
21105,Hickman,KY
21107,Hopkins,KY
21109,Jackson,KY
21111,Jefferson,KY
21113,Jessamine,KY
21115,Johnson,KY
21117,Kenton,KY
21119,Knott,KY
21121,Knox,KY
21123,Larue,KY
21125,Laurel,KY
21127,Lawrence,KY
21129,Lee,KY
21131,Leslie,KY
21133,Letcher,KY
21135,Lewis,KY
21137,Lincoln,KY
21139,Livingston,KY
21141,Logan,KY
21143,Lyon,KY
21145,McCracken,KY
21147,McCreary,KY
21149,McLean,KY
21151,Madison,KY
21153,Magoffin,KY
21155,Marion,KY
21157,Marshall,KY
21159,Martin,KY
21161,Mason,KY
21163,Meade,KY
21165,Menifee,KY
21167,Mercer,KY
21169,Metcalfe,KY
21171,Monroe,KY
21173,Montgomery,KY
21175,Morgan,KY
21177,Muhlenberg,KY
21179,Nelson,KY
21181,Nicholas,KY
21183,Ohio,KY
21185,Oldham,KY
21187,Owen,KY
21189,Owsley,KY
21191,Pendleton,KY
21193,Perry,KY
21195,Pike,KY
21197,Powell,KY
21199,Pulaski,KY
