county_fips,county_name,state,fullCountyName
01001,Autauga,AL,"Autauga County, AL"
01003,Baldwin,AL,"Baldwin County, AL"
01005,Barbour,AL,"Barbour County, AL"
01007,Bibb,AL,"Bibb County, AL"
01009,Blount,AL,"Blount County, AL"
01011,Bullock,AL,"Bullock County, AL"
01013,Butler,AL,"Butler County, AL"
01015,Calhoun,AL,"Calhoun County, AL"
01017,Chambers,AL,"Chambers County, AL"
01019,Cherokee,AL,"Cherokee County, AL"
01021,Chilton,AL,"Chilton County, AL"
01023,Choctaw,AL,"Choctaw County, AL"
01025,Clarke,AL,"Clarke County, AL"
01027,Clay,AL,"Clay County, AL"
01029,Cleburne,AL,"Cleburne County, AL"
01031,Coffee,AL,"Coffee County, AL"
01033,Colbert,AL,"Colbert County, AL"
01035,Conecuh,AL,"Conecuh County, AL"
01037,Coosa,AL,"Coosa County, AL"
01039,Covington,AL,"Covington County, AL"
01041,Crenshaw,AL,"Crenshaw County, AL"
01043,Cullman,AL,"Cullman County, AL"
01045,Dale,AL,"Dale County, AL"
01047,Dallas,AL,"Dallas County, AL"
01049,De Kalb,AL,"De Kalb County, AL"
01051,Elmore,AL,"Elmore County, AL"
01053,Escambia,AL,"Escambia County, AL"
01055,Etowah,AL,"Etowah County, AL"
01057,Fayette,AL,"Fayette County, AL"
01059,Franklin,AL,"Franklin County, AL"
01061,Geneva,AL,"Geneva County, AL"
01063,Greene,AL,"Greene County, AL"
01065,Hale,AL,"Hale County, AL"
01067,Henry,AL,"Henry County, AL"
01069,Houston,AL,"Houston County, AL"
01071,Jackson,AL,"Jackson County, AL"
01073,Jefferson,AL,"Jefferson County, AL"
01075,Lamar,AL,"Lamar County, AL"
01077,Lauderdale,AL,"Lauderdale County, AL"
01079,Lawrence,AL,"Lawrence County, AL"
01081,Lee,AL,"Lee County, AL"
01083,Limestone,AL,"Limestone County, AL"
01085,Lowndes,AL,"Lowndes County, AL"
01087,Macon,AL,"Macon County, AL"
01089,Madison,AL,"Madison County, AL"
01091,Marengo,AL,"Marengo County, AL"
01093,Marion,AL,"Marion County, AL"
01095,Marshall,AL,"Marshall County, AL"
01097,Mobile,AL,"Mobile County, AL"
01099,Monroe,AL,"Monroe County, AL"
01101,Montgomery,AL,"Montgomery County, AL"
01103,Morgan,AL,"Morgan County, AL"
01105,Perry,AL,"Perry County, AL"
01107,Pickens,AL,"Pickens County, AL"
01109,Pike,AL,"Pike County, AL"
01111,Randolph,AL,"Randolph County, AL"
01113,Russell,AL,"Russell County, AL"
01115,St Clair,AL,"St Clair County, AL"
01117,Shelby,AL,"Shelby County, AL"
01119,Sumter,AL,"Sumter County, AL"
01121,Talladega,AL,"Talladega County, AL"
01123,Tallapoosa,AL,"Tallapoosa County, AL"
01125,Tuscaloosa,AL,"Tuscaloosa County, AL"
01127,Walker,AL,"Walker County, AL"
01129,Washington,AL,"Washington County, AL"
01131,Wilcox,AL,"Wilcox County, AL"
01133,Winston,AL,"Winston County, AL"
02013,Aleutians East,AK,"Aleutians East County, AK"
02016,Aleutians West,AK,"Aleutians West County, AK"
02020,Anchorage,AK,"Anchorage County, AK"
02050,Bethel,AK,"Bethel County, AK"
02060,Bristol Bay,AK,"Bristol Bay County, AK"
02068,Denali,AK,"Denali County, AK"
02070,Dillingham,AK,"Dillingham County, AK"
02090,Fairbanks North Star,AK,"Fairbanks North Star County, AK"
02100,Haines,AK,"Haines County, AK"
02110,Juneau,AK,"Juneau County, AK"
02122,Kenai Peninsula,AK,"Kenai Peninsula County, AK"
02130,Ketchikan Gateway,AK,"Ketchikan Gateway County, AK"
02150,Kodiak Island,AK,"Kodiak Island County, AK"
02164,Lake and Peninsula,AK,"Lake and Peninsula County, AK"
02170,Matanuska-Susitna,AK,"Matanuska-Susitna County, AK"
02180,Nome,AK,"Nome County, AK"
02185,North Slope,AK,"North Slope County, AK"
02188,Northwest Arctic,AK,"Northwest Arctic County, AK"
02201,Prince of Wales-Outer Ketchikan,AK,"Prince of Wales-Outer Ketchikan County, AK"
02220,Sitka,AK,"Sitka County, AK"
02232,Skagway-Hoonah-Angoon,AK,"Skagway-Hoonah-Angoon County, AK"
02240,Southeast Fairbanks,AK,"Southeast Fairbanks County, AK"
02261,Valdez-Cordova,AK,"Valdez-Cordova County, AK"
02270,Wade Hampton,AK,"Wade Hampton County, AK"
02280,Wrangell-Petersburg,AK,"Wrangell-Petersburg County, AK"
02282,Yakutat,AK,"Yakutat County, AK"
02290,Yukon-Koyukuk,AK,"Yukon-Koyukuk County, AK"
04001,Apache,AZ,"Apache County, AZ"
04003,Cochise,AZ,"Cochise County, AZ"
04005,Coconino,AZ,"Coconino County, AZ"
04007,Gila,AZ,"Gila County, AZ"
04009,Graham,AZ,"Graham County, AZ"
04011,Greenlee,AZ,"Greenlee County, AZ"
04012,La Paz,AZ,"La Paz County, AZ"
04013,Maricopa,AZ,"Maricopa County, AZ"
04015,Mohave,AZ,"Mohave County, AZ"
04017,Navajo,AZ,"Navajo County, AZ"
04019,Pima,AZ,"Pima County, AZ"
04021,Pinal,AZ,"Pinal County, AZ"
04023,Santa Cruz,AZ,"Santa Cruz County, AZ"
04025,Yavapai,AZ,"Yavapai County, AZ"
04027,Yuma,AZ,"Yuma County, AZ"
05001,Arkansas,AR,"Arkansas County, AR"
05003,Ashley,AR,"Ashley County, AR"
05005,Baxter,AR,"Baxter County, AR"
05007,Benton,AR,"Benton County, AR"
05009,Boone,AR,"Boone County, AR"
05011,Bradley,AR,"Bradley County, AR"
05013,Calhoun,AR,"Calhoun County, AR"
05015,Carroll,AR,"Carroll County, AR"
05017,Chicot,AR,"Chicot County, AR"
05019,Clark,AR,"Clark County, AR"
05021,Clay,AR,"Clay County, AR"
05023,Cleburne,AR,"Cleburne County, AR"
05025,Cleveland,AR,"Cleveland County, AR"
05027,Columbia,AR,"Columbia County, AR"
05029,Conway,AR,"Conway County, AR"
05031,Craighead,AR,"Craighead County, AR"
05033,Crawford,AR,"Crawford County, AR"
05035,Crittenden,AR,"Crittenden County, AR"
05037,Cross,AR,"Cross County, AR"
05039,Dallas,AR,"Dallas County, AR"
05041,Desha,AR,"Desha County, AR"
