county_name,pop_2019
Adams,27776
Allen,103175
Ashland,53536
Ashtabula,97830
Athens,65917
Auglaize,45729
Belmont,68024
Brown,43572
Butler,380019
Carroll,27332
Champaign,38845
Clark,134726
Clermont,204275
Clinton,41957
Columbiana,103190
Coshocton,36585
Crawford,41821
Cuyahoga,1247451
Darke,51513
Defiance,38160
Delaware,201135
Erie,74780
Fairfield,154457
Fayette,28620
Franklin,1290360
Fulton,42253
Gallia,30088
Geauga,93843
Greene,166502
Guernsey,39111
Hamilton,813589
Hancock,75837
Hardin,31425
Harrison,15211
Henry,27208
Highland,43016
Hocking,28390
Holmes,43901
Huron,58339
Jackson,32450
Jefferson,66371
Knox,61481
Lake,229954
Lawrence,60184
Licking,173750
Logan,45316
Lorain,307670
Lucas,431102
Madison,44135
Mahoning,229961
Marion,65299
Medina,177980
Meigs,23078
Mercer,40884
Miami,105371
Monroe,13942
Montgomery,531670
Morgan,14640
Morrow,35043
Muskingum,86131
Noble,14416
Ottawa,40632
Paulding,18809
Perry,36022
Pickaway,57762
Pike,28000
Portage,162511
Preble,41093
Putnam,33911
Richland,121100
Ross,76948
Sandusky,59029
Scioto,76040
Seneca,55351
Shelby,48749
Stark,372404
Summit,541334
Trumbull,200367
Tuscarawas,92335
Union,56707
Van Wert,28261
Vinton,13083
Warren,229132
Washington,60426
Wayne,116099
Williams,36816
Wood,130150
Wyandot,22000
