county,state,total_pop,eligible_voters
Adair ,KY,19241,15384
Allen ,KY,20794,15783
Anderson ,KY,22214,16840
Ballard ,KY,8090,6307
Barren ,KY,43680,33251
Bath ,KY,12268,9156
Bell ,KY,27188,21354
Boone ,KY,129095,94884
Bourbon ,KY,20144,15563
Boyd ,KY,48091,37853
Boyle ,KY,29913,23882
Bracken ,KY,8306,6248
Breathitt ,KY,13116,10415
Breckinridge ,KY,20080,15453
Bullitt ,KY,79466,61589
Butler ,KY,12745,9902
Caldwell ,KY,12727,9871
Calloway ,KY,38776,31724
Campbell ,KY,92267,72645
Carlisle ,KY,4841,3787
Carroll ,KY,10711,7942
Carter ,KY,27290,21142
Casey ,KY,15796,12224
Christian ,KY,72263,52572
Clark ,KY,35872,27787
Clay ,KY,20621,16224
Clinton ,KY,10211,7836
Crittenden ,KY,9083,7101
Cumberland ,KY,6713,5262
Daviess ,KY,99937,75534
Edmonson ,KY,12122,9831
Elliott ,KY,7517,6117
Estill ,KY,14313,11263
Fayette ,KY,318734,251730
Fleming ,KY,14479,10923
Floyd ,KY,36926,28982
Franklin ,KY,50296,39743
Fulton ,KY,6210,4852
Gallatin ,KY,8703,6550
Garrard ,KY,17328,13479
Grant ,KY,24915,18120
Graves ,KY,37294,28250
Grayson ,KY,26178,19931
Green ,KY,11023,8690
Greenup ,KY,35765,28079
Hancock ,KY,8719,6478
Hardin ,KY,108095,81349
Harlan ,KY,27134,20935
Harrison ,KY,18668,14391
Hart ,KY,18627,14014
Henderson ,KY,46137,35513
Henry ,KY,15814,12078
Hickman ,KY,4568,3672
Hopkins ,KY,45664,35109
Jackson ,KY,13373,10318
Jefferson ,KY,767154,594943
Jessamine ,KY,52422,39534
Johnson ,KY,22843,17758
Kenton ,KY,164688,125050
Knott ,KY,15513,12335
Knox ,KY,31467,23991
Larue ,KY,14156,10987
Laurel ,KY,60180,46194
Lawrence ,KY,15783,12049
Lee ,KY,6751,5345
Leslie ,KY,10472,8189
Letcher ,KY,22676,17762
Lewis ,KY,13490,10505
Lincoln ,KY,24458,18655
Livingston ,KY,9263,7273
Logan ,KY,26849,20443
Lyon ,KY,8186,6982
McCracken ,KY,65284,50830
McCreary ,KY,17635,13784
McLean ,KY,9331,7044
Madison ,KY,89700,70867
Magoffin ,KY,12666,9789
Marion ,KY,19232,14534
Marshall ,KY,31166,24783
Martin ,KY,11919,9510
Mason ,KY,17153,13266
Meade ,KY,28326,21691
Menifee ,KY,6405,5043
Mercer ,KY,21516,16739
Metcalfe ,KY,10004,7677
Monroe ,KY,10634,8280
Montgomery ,KY,27759,21050
Morgan ,KY,13285,10805
Muhlenberg ,KY,31081,24712
Nelson ,KY,45388,34410
Nicholas ,KY,7100,5432
Ohio ,KY,24071,18170
Oldham ,KY,65374,48606
Owen ,KY,10741,8119
Owsley ,KY,4463,3557
Pendleton ,KY,14520,11166
Perry ,KY,26917,20892
Pike ,KY,60483,47922
Powell ,KY,12321,9391
Pulaski ,KY,64145,49854
Robertson ,KY,2143,1746
Rockcastle ,KY,16827,13123
Rowan ,KY,24499,19793
Russell ,KY,17760,13735
Scott ,KY,53517,39847
Shelby ,KY,46786,35666
Simpson ,KY,18063,13619
Spencer ,KY,18246,14100
Taylor ,KY,25500,19693
Todd ,KY,12350,9036
Trigg ,KY,14344,11193
Trimble ,KY,8637,6691
Union ,KY,14802,11877
Warren ,KY,126427,97677
Washington ,KY,12019,9194
Wayne ,KY,20609,16294
Webster ,KY,13155,10099
Whitley ,KY,36089,27213
Wolfe ,KY,7223,5543
Woodford ,KY,26097,20216
Adams ,OH,27878,21028
Allen ,OH,103642,79525
Ashland ,OH,53477,41308
Ashtabula ,OH,98136,76225
Athens ,OH,65936,56132
Auglaize ,OH,45784,34659
Belmont ,OH,68472,55431
Brown ,OH,43679,33585
Butler ,OH,378294,288150
Carroll ,OH,27578,21815
Champaign ,OH,38864,30081
Clark ,OH,135198,104485
Clermont ,OH,203216,155262
Clinton ,OH,41896,32037
Columbiana ,OH,104003,82482
Coshocton ,OH,36574,27941
Crawford ,OH,42021,32802
Cuyahoga ,OH,1253783,989091
Darke ,OH,51734,39314
Defiance ,OH,38279,29379
Delaware ,OH,197008,143776
Erie ,OH,75136,59672
Fairfield ,OH,152910,115862
Fayette ,OH,28645,21796
Franklin ,OH,1275333,976261
Fulton ,OH,42305,32174
Gallia ,OH,30195,23279
Geauga ,OH,93961,71888
Greene ,OH,165811,131569
Guernsey ,OH,39274,30499
Hamilton ,OH,812037,624058
Hancock ,OH,75690,58690
Hardin ,OH,31542,24171
Harrison ,OH,15307,12085
Henry ,OH,27316,20876
Highland ,OH,43007,32570
Hocking ,OH,28495,22129
Holmes ,OH,43859,29732
Huron ,OH,58457,44180
Jackson ,OH,32524,24641
Jefferson ,OH,66886,53927
Knox ,OH,61215,47187
