county_name,pop,above_60_pop,above_65_pop,median_age,pct_pop_above_60,pct_pop_above_65
"Adair County, Kentucky",19222,4920,3571,41.8,25.60,18.58
"Allen County, Kentucky",20944,4921,3628,40.7,23.50,17.32
"Anderson County, Kentucky",22409,5048,3459,41.4,22.53,15.44
"Ballard County, Kentucky",8032,2295,1666,43.6,28.57,20.74
"Barren County, Kentucky",43884,10346,7525,40.5,23.58,17.15
"Bath County, Kentucky",12355,2765,1997,40.6,22.38,16.16
"Bell County, Kentucky",26791,6721,4979,41.7,25.09,18.58
"Boone County, Kentucky",130820,24604,16864,37.5,18.81,12.89
"Bourbon County, Kentucky",20058,5168,3800,41.8,25.77,18.95
"Boyd County, Kentucky",47682,12605,9014,42.3,26.44,18.90
"Boyle County, Kentucky",29972,7458,5561,40.3,24.88,18.55
"Bracken County, Kentucky",8305,1868,1341,41.4,22.49,16.15
"Breathitt County, Kentucky",12977,3106,2137,42.2,23.93,16.47
"Breckinridge County, Kentucky",20176,5578,3888,43.1,27.65,19.27
"Bullitt County, Kentucky",80171,17871,12282,40.4,22.29,15.32
"Butler County, Kentucky",12764,3248,2306,41.3,25.45,18.07
"Caldwell County, Kentucky",12702,3456,2653,44,27.21,20.89
"Calloway County, Kentucky",38837,8901,6536,35.6,22.92,16.83
"Campbell County, Kentucky",92861,20599,14117,38.2,22.18,15.20
"Carlisle County, Kentucky",4784,1357,987,42.8,28.37,20.63
"Carroll County, Kentucky",10671,2141,1610,38.5,20.06,15.09
"Carter County, Kentucky",27159,7018,4966,41.6,25.84,18.28
"Casey County, Kentucky",15885,4254,3162,42.6,26.78,19.91
"Christian County, Kentucky",71414,11845,8611,28.3,16.59,12.06
"Clark County, Kentucky",35971,8743,6308,42.3,24.31,17.54
"Clay County, Kentucky",20368,4290,3005,39.6,21.06,14.75
"Clinton County, Kentucky",10193,2647,1945,41.9,25.97,19.08
"Crittenden County, Kentucky",9000,2510,1821,43.6,27.89,20.23
"Cumberland County, Kentucky",6697,1911,1440,46,28.54,21.50
"Daviess County, Kentucky",100474,23338,16779,38.9,23.23,16.70
"Edmonson County, Kentucky",12138,3312,2447,44.3,27.29,20.16
"Elliott County, Kentucky",7510,1852,1425,41.4,24.66,18.97
"Estill County, Kentucky",14224,3549,2646,43.5,24.95,18.60
"Fayette County, Kentucky",320601,58666,41539,34.6,18.30,12.96
"Fleming County, Kentucky",14513,3556,2537,41.4,24.50,17.48
"Floyd County, Kentucky",36456,8975,6378,42.2,24.62,17.50
"Franklin County, Kentucky",50529,12028,8605,40.9,23.80,17.03
"Fulton County, Kentucky",6130,1783,1230,43.5,29.09,20.07
"Gallatin County, Kentucky",8737,1754,1193,38.8,20.08,13.65
"Garrard County, Kentucky",17445,4344,3121,43,24.90,17.89
"Grant County, Kentucky",24951,4737,3404,36.3,18.99,13.64
"Graves County, Kentucky",37248,8976,6789,39.7,24.10,18.23
"Grayson County, Kentucky",26247,6385,4523,40.3,24.33,17.23
"Green County, Kentucky",10979,3134,2211,44.6,28.55,20.14
"Greenup County, Kentucky",35555,9609,7213,43.4,27.03,20.29
"Hancock County, Kentucky",8720,1989,1471,39.9,22.81,16.87
"Hardin County, Kentucky",108527,21190,14852,37,19.53,13.69
"Harlan County, Kentucky",26699,6901,4778,41.3,25.85,17.90
"Harrison County, Kentucky",18722,4636,3266,42.2,24.76,17.44
"Hart County, Kentucky",18729,4366,3064,40.5,23.31,16.36
"Henderson County, Kentucky",45829,11085,7889,41.2,24.19,17.21
"Henry County, Kentucky",15911,3912,2705,41.4,24.59,17.00
"Hickman County, Kentucky",4510,1530,1097,48,33.92,24.32
"Hopkins County, Kentucky",45331,11245,8157,41.8,24.81,17.99
"Jackson County, Kentucky",13369,3092,2274,42.2,23.13,17.01
"Jefferson County, Kentucky",767419,170823,120799,38.3,22.26,15.74
"Jessamine County, Kentucky",53032,11007,7787,37.8,20.76,14.68
"Johnson County, Kentucky",22634,5561,4007,41.8,24.57,17.70
"Kenton County, Kentucky",165668,33466,23111,37.1,20.20,13.95
"Knott County, Kentucky",15260,3852,2693,43.2,25.24,17.65
"Knox County, Kentucky",31365,7337,5367,40,23.39,17.11
"Larue County, Kentucky",14204,3438,2431,40.9,24.20,17.11
"Laurel County, Kentucky",60357,13794,9691,40,22.85,16.06
"Lawrence County, Kentucky",15671,3750,2676,41.2,23.93,17.08
"Lee County, Kentucky",6881,1688,1196,43.6,24.53,17.38
"Leslie County, Kentucky",10283,2606,1792,42.3,25.34,17.43
"Letcher County, Kentucky",22295,5692,4128,42.4,25.53,18.52
"Lewis County, Kentucky",13417,3333,2398,42.8,24.84,17.87
"Lincoln County, Kentucky",24476,5902,4366,41.3,24.11,17.84
"Livingston County, Kentucky",9235,2643,1942,46,28.62,21.03
"Logan County, Kentucky",26902,6638,4895,40.7,24.67,18.20
"Lyon County, Kentucky",8271,3013,2209,50.6,36.43,26.71
"McCracken County, Kentucky",65268,17437,12651,42.2,26.72,19.38
"McCreary County, Kentucky",17465,3730,2672,39.4,21.36,15.30
"McLean County, Kentucky",9283,2466,1785,42.4,26.56,19.23
"Madison County, Kentucky",90802,17284,12131,34.1,19.03,13.36
"Magoffin County, Kentucky",12491,3184,2093,42.3,25.49,16.76
"Marion County, Kentucky",19244,4348,3174,39.3,22.59,16.49
"Marshall County, Kentucky",31192,8954,6762,44.9,28.71,21.68
"Martin County, Kentucky",11648,2665,1827,39.5,22.88,15.69
"Mason County, Kentucky",17112,4076,2989,40.6,23.82,17.47
"Meade County, Kentucky",28182,5721,3937,38.6,20.30,13.97
"Menifee County, Kentucky",6443,1789,1302,44.6,27.77,20.21
"Mercer County, Kentucky",21592,5605,3985,43.2,25.96,18.46
"Metcalfe County, Kentucky",10036,2570,1884,43.9,25.61,18.77
"Monroe County, Kentucky",10627,2604,1956,41.4,24.50,18.41
"Montgomery County, Kentucky",27884,6006,4396,39.7,21.54,15.77
"Morgan County, Kentucky",13288,3088,2186,42,23.24,16.45
"Muhlenberg County, Kentucky",30951,7718,5763,42.4,24.94,18.62
"Nelson County, Kentucky",45650,10172,6975,39.8,22.28,15.28
"Nicholas County, Kentucky",7153,1651,1206,41.1,23.08,16.86
"Ohio County, Kentucky",24071,6000,4246,40.3,24.93,17.64
"Oldham County, Kentucky",65967,12135,8384,38.9,18.40,12.71
"Owen County, Kentucky",10796,2715,1931,42.8,25.15,17.89
"Owsley County, Kentucky",4442,1266,844,43.4,28.50,19.00
"Pendleton County, Kentucky",14572,3254,2262,40.6,22.33,15.52
"Perry County, Kentucky",26624,6223,4349,41.2,23.37,16.33
"Pike County, Kentucky",59497,14819,10761,42.5,24.91,18.09
"Powell County, Kentucky",12304,2707,1906,38.6,22.00,15.49
"Pulaski County, Kentucky",64350,16503,12005,42,25.65,18.66
"Robertson County, Kentucky",2123,555,456,42.9,26.14,21.48
"Rockcastle County, Kentucky",16820,4162,2994,42.7,24.74,17.80
"Rowan County, Kentucky",24507,4665,3339,30.6,19.04,13.62
"Russell County, Kentucky",17778,4775,3511,43.3,26.86,19.75
"Scott County, Kentucky",54667,9062,6480,36.2,16.58,11.85
"Shelby County, Kentucky",47325,10353,7242,39.4,21.88,15.30
"Simpson County, Kentucky",18183,4367,2986,39,24.02,16.42
"Spencer County, Kentucky",18680,3643,2517,42.1,19.50,13.47
"Taylor County, Kentucky",25571,5873,4452,37.6,22.97,17.41
"Todd County, Kentucky",12316,2756,1921,37.8,22.38,15.60
"Trigg County, Kentucky",14449,4515,3208,46.2,31.25,22.20
"Trimble County, Kentucky",8558,2029,1465,43.4,23.71,17.12
"Union County, Kentucky",14638,3409,2370,38.1,23.29,16.19
"Warren County, Kentucky",128652,22844,16283,32.8,17.76,12.66
